#entity id	document	start	end	text	comment
species:ncbi:4932	pmcA102792	75	80	yeast	
species:ncbi:4932	pmcA102792	126	131	yeast	
species:ncbi:4932	pmcA102792	132	156	Saccharomyces cerevisiae	
species:ncbi:4932	pmcA102792	1376	1381	yeast	
species:ncbi:4932	pmcA102792	1426	1450	Saccharomyces cerevisiae	4
species:ncbi:562	pmcA102792	1753	1769	Escherichia coli	
species:ncbi:4932	pmcA102792	1786	1798	S.cerevisiae	
species:ncbi:6239	pmcA102792	1851	1873	Caenorhabditis elegans	
species:ncbi:9606	pmcA102792	1994	2000	humans	
species:ncbi:4932	pmcA102792	2333	2338	yeast	
species:ncbi:9031	pmcA102792	3674	3681	chicken	
species:ncbi:9606	pmcA102792	3725	3730	human	
species:ncbi:8355	pmcA102792	3736	3750	Xenopus laevis	
species:ncbi:7227	pmcA102792	3756	3779	Drosophila melanogaster	
species:ncbi:6239	pmcA102792	3785	3794	C.elegans	0
species:ncbi:4896	pmcA102792	3803	3828	Schizosaccharomyces pombe	
species:ncbi:9606	pmcA102792	4085	4090	human	
species:ncbi:4932	pmcA102792	4760	4765	yeast	
species:ncbi:4932	pmcA102792	5619	5624	yeast	
species:ncbi:4932	pmcA102792	5904	5909	yeast	
species:ncbi:4932	pmcA102792	5911	5923	S.cerevisiae	
species:ncbi:4932	pmcA102792	5958	5963	yeast	
species:ncbi:562	pmcA102792	6090	6096	E.coli	0
species:ncbi:4932	pmcA102792	6131	6136	yeast	
species:ncbi:4932	pmcA102792	8244	8249	yeast	4
species:ncbi:4932	pmcA102792	8874	8879	yeast	4
species:ncbi:4932	pmcA102792	9002	9007	yeast	
species:ncbi:4932	pmcA102792	9240	9245	yeast	4
species:ncbi:4932	pmcA102792	10013	10018	yeast	
species:ncbi:9913	pmcA102792	12014	12020	bovine	4
species:ncbi:4932	pmcA102792	12045	12050	Yeast	
species:ncbi:4932	pmcA102792	12619	12624	yeast	
species:ncbi:10090	pmcA102792	15156	15161	mouse	4
species:ncbi:9940	pmcA102792	15254	15259	sheep	4
species:ncbi:10090	pmcA102792	15265	15270	mouse	4
species:ncbi:9913	pmcA102792	16474	16480	bovine	4
species:ncbi:4932	pmcA102792	17612	17617	yeast	
species:ncbi:4932	pmcA102792	17897	17902	yeast	
species:ncbi:4932	pmcA102792	18226	18231	yeast	
species:ncbi:4932	pmcA102792	18479	18484	yeast	
species:ncbi:4932	pmcA102792	18784	18789	yeast	
species:ncbi:4932	pmcA102792	19177	19182	yeast	4
species:ncbi:4932	pmcA102792	19468	19473	yeast	4
species:ncbi:4932	pmcA102792	23104	23109	yeast	4
species:ncbi:4932	pmcA102792	23284	23289	yeast	
species:ncbi:4932	pmcA102792	24155	24160	yeast	
species:ncbi:9606	pmcA102792	24281	24286	human	4
species:ncbi:4932	pmcA102792	25952	25957	yeast	
species:ncbi:4922	pmcA102792	25958	25973	Pichia pastoris	
species:ncbi:4932	pmcA102792	26754	26759	yeast	
species:ncbi:4932	pmcA102792	27150	27155	yeast	
species:ncbi:4932	pmcA102792	27623	27628	yeast	
species:ncbi:4932	pmcA102792	31755	31760	yeast	
species:ncbi:4932	pmcA102792	32287	32292	yeast	4
species:ncbi:4932	pmcA102792	32625	32637	S.cerevisiae	4
species:ncbi:43462	pmcA1036069	3796	3804	cinchona	4
species:ncbi:10255	pmcA1036069	4532	4540	smallpox	
species:ncbi:9925	pmcA1036069	11040	11044	goat	
species:ncbi:10255	pmcA1036069	13646	13654	smallpox	
species:ncbi:264534	pmcA1036069	14217	14222	jalap	
species:ncbi:2708	pmcA1036069	14277	14282	lemon	4
species:ncbi:3621	pmcA1036069	17095	17102	rhubarb	
species:ncbi:10090	pmcA1075922	600	605	mouse	
species:ncbi:9606	pmcA1075922	2277	2282	human	
species:ncbi:7955	pmcA1075922	4214	4223	zebrafish	4
species:ncbi:6239	pmcA1075922	4235	4257	Caenorhabditis elegans	4
species:ncbi:7955	pmcA1075922	4483	4492	zebrafish	4
species:ncbi:10090	pmcA1075922	4523	4528	mouse	4
species:ncbi:10090	pmcA1075922	4729	4734	mouse	4
species:ncbi:9606	pmcA1075922	4835	4841	humans	
species:ncbi:10090	pmcA1075922	4846	4850	mice	
species:ncbi:10090	pmcA1075922	5027	5032	mouse	4
species:ncbi:6239	pmcA1075922	5044	5053	C.elegans	4
species:ncbi:10090	pmcA1075922	5295	5300	mouse	4
species:ncbi:9606	pmcA1075922	5524	5529	human	4
species:ncbi:10090	pmcA1075922	5534	5539	mouse	4
species:ncbi:10090	pmcA1075922	7249	7254	mouse	4
species:ncbi:10633	pmcA1075922	8962	8966	SV40	4
species:ncbi:9606	pmcA1075922	10537	10542	human	4
species:ncbi:9925	pmcA1075922	11929	11933	goat	4
species:ncbi:10090	pmcA1075922	11970	11975	mouse	4
species:ncbi:9986	pmcA1075922	11999	12005	rabbit	4
species:ncbi:9925	pmcA1075922	12066	12070	goat	4
species:ncbi:10090	pmcA1075922	12076	12081	mouse	4
species:ncbi:9925	pmcA1075922	12106	12110	goat	4
species:ncbi:9986	pmcA1075922	12116	12122	rabbit	4
species:ncbi:10090	pmcA1075922	12518	12522	mice	
species:ncbi:9606	pmcA1075922	26018	26023	human	4
species:ncbi:9606	pmcA1079799	372	377	human	
species:ncbi:9606	pmcA1079799	704	709	human	
species:ncbi:9606	pmcA1079799	4428	4433	human	4
species:ncbi:9606	pmcA1079799	5082	5087	human	4
species:ncbi:7227	pmcA1131934	60	83	Drosophila melanogaster	
species:ncbi:7227	pmcA1131934	456	466	Drosophila	2
species:ncbi:7227	pmcA1131934	1947	1970	Drosophila melanogaster	
species:ncbi:4932	pmcA1131934	2111	2116	yeast	
species:ncbi:9606	pmcA1131934	2120	2125	human	
species:ncbi:7227	pmcA1131934	2176	2186	Drosophila	2
species:ncbi:7227	pmcA1131934	2431	2445	D.melanogaster	
species:ncbi:4896	pmcA1131934	3590	3603	fission yeast	
species:ncbi:7227	pmcA1131934	3763	3777	D.melanogaster	
species:ncbi:10090	pmcA1131934	3961	3965	mice	
species:ncbi:7227	pmcA1131934	4239	4249	Drosophila	2
species:ncbi:7227	pmcA1131934	4946	4956	Drosophila	2
species:ncbi:7227	pmcA1131934	5011	5021	Drosophila	2
species:ncbi:9986	pmcA1131934	6556	6562	rabbit	4
species:ncbi:10090	pmcA1131934	6571	6576	mouse	4
species:ncbi:3704	pmcA1131934	6577	6588	horseradish	4
species:ncbi:7227	pmcA1131934	7538	7548	Drosophila	2
species:ncbi:10090	pmcA1131934	7591	7596	mouse	4
species:ncbi:9986	pmcA1131934	7709	7715	rabbit	4
species:ncbi:10090	pmcA1131934	7756	7761	mouse	4
species:ncbi:9986	pmcA1131934	8052	8058	rabbit	
species:ncbi:7227	pmcA1131934	10455	10465	Drosophila	2
species:ncbi:7227	pmcA1131934	10572	10582	Drosophila	2
species:ncbi:7227	pmcA1131934	10821	10831	Drosophila	2
species:ncbi:7227	pmcA1131934	10867	10877	Drosophila	2
species:ncbi:7227	pmcA1131934	12574	12584	Drosophila	2
species:ncbi:7227	pmcA1131934	17318	17328	Drosophila	2
species:ncbi:7227	pmcA1131934	20795	20805	Drosophila	2
species:ncbi:7227	pmcA1131934	21738	21752	D.melanogaster	
species:ncbi:9606	pmcA1190194	500	505	human	4
species:ncbi:9606	pmcA1190194	1143	1148	human	4
species:ncbi:7227	pmcA1190194	2621	2644	Drosophila melanogaster	
species:ncbi:6239	pmcA1190194	2655	2677	Caenorhabditis elegans	
species:ncbi:10090	pmcA1190194	2965	2970	mouse	4
species:ncbi:9606	pmcA1190194	6807	6812	human	4
species:ncbi:9606	pmcA1190194	7177	7182	human	4
species:ncbi:9606	pmcA1190194	7438	7443	human	4
species:ncbi:9606	pmcA1190194	8623	8628	human	4
species:ncbi:9606	pmcA1190194	9313	9318	human	4
species:ncbi:4932	pmcA1190194	9849	9854	yeast	4
species:ncbi:9606	pmcA1190194	15121	15126	human	4
species:ncbi:9606	pmcA1190194	15932	15937	human	4
species:ncbi:10870	pmcA1190194	29641	29658	bacteriophage M13	4
species:ncbi:4932	pmcA1190194	29679	29684	yeast	4
species:ncbi:562	pmcA1190194	32703	32710	E. coli	4
species:ncbi:562	pmcA1190194	35330	35337	E. coli	4
species:ncbi:9606	pmcA1190194	42460	42465	human	4
species:ncbi:9606	pmcA1190194	43669	43674	human	4
species:ncbi:9606	pmcA1239921	138	143	human	4
species:ncbi:9606	pmcA1239921	1813	1818	human	4
species:ncbi:9606	pmcA1239921	10876	10881	human	4
species:ncbi:9606	pmcA1239921	20765	20770	Human	4
species:ncbi:9913	pmcA1239921	20943	20949	bovine	4
species:ncbi:9606	pmcA1239921	22414	22419	human	4
species:ncbi:9913	pmcA1239921	26369	26375	bovine	4
species:ncbi:9606	pmcA1257442	1053	1058	human	4
species:ncbi:9606	pmcA1257442	3135	3140	human	4
species:ncbi:1305	pmcA1257442	3364	3385	Streptococcus sanguis	
species:ncbi:9606	pmcA1257442	3406	3411	human	4
species:ncbi:9606	pmcA1257442	6010	6015	human	4
species:ncbi:9913	pmcA1257442	6133	6139	bovine	4
species:ncbi:9913	pmcA1257442	6700	6706	bovine	4
species:ncbi:9925	pmcA1257442	7286	7290	goat	4
species:ncbi:9606	pmcA1257442	7296	7301	human	4
species:ncbi:9986	pmcA1257442	9706	9712	rabbit	4
species:ncbi:9913	pmcA1257442	10807	10813	bovine	4
species:ncbi:9913	pmcA1257442	11027	11033	bovine	4
species:ncbi:9913	pmcA1257442	11741	11747	bovine	4
species:ncbi:9606	pmcA1257442	11759	11764	human	4
species:ncbi:9606	pmcA1257442	13727	13732	human	4
species:ncbi:9606	pmcA1257442	13798	13803	human	4
species:ncbi:4932	pmcA1257442	15744	15749	Yeast	4
species:ncbi:9606	pmcA1257442	19867	19872	human	4
species:ncbi:9606	pmcA1257442	21460	21465	human	4
species:ncbi:4113	pmcA1312363	50	67	Solanum tuberosum	4
species:ncbi:4113	pmcA1312363	99	105	potato	4
species:ncbi:4565	pmcA1312363	170	175	wheat	4
species:ncbi:4113	pmcA1312363	744	750	potato	4
species:ncbi:4565	pmcA1312363	820	825	wheat	4
species:ncbi:4113	pmcA1312363	856	862	potato	4
species:ncbi:4565	pmcA1312363	965	970	wheat	4
species:ncbi:4113	pmcA1312363	1013	1019	potato	4
species:ncbi:4113	pmcA1312363	1162	1168	potato	4
species:ncbi:4113	pmcA1312363	1245	1251	potato	4
species:ncbi:4565	pmcA1312363	1255	1260	wheat	4
species:ncbi:4565	pmcA1312363	1362	1367	wheat	4
species:ncbi:4113	pmcA1312363	1470	1476	potato	4
